CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT
1200056031|1|1228008300|6078560|573|L+G|N|N|N|N|27/07/2018
3200013398|1|3204701400|5699615|569|SECURE|N|N|Y|N|25/08/2016
6100051094|1|6815003500|7000510|599|SECURE|Y|N|N|N|24/02/2017
1200054474|1|1227213400|6570916|576|GENUS|N|N|N|N|24/11/2022
900077662|1|0914715200|4277699|585|SECURE|N|N|Y|N|29/07/2010
4600047184|1|4631506900|5101652|569|SECURE|Y|N|N|N|14/01/2015
6000047004|1|6005312902|6471350|576|GENUS|N|N|N|N|30/03/2022
1200057548|1|1228909113|4799074|581|GENUS|N|Y|Y|N|04/06/2013
6800002976|1|6811500201|3627134|407|SCHLMBGR|N|N|Y|N|08/05/2006
1300024926|1|1315102600|6279887|576|GENUS|N|N|N|N|15/10/2019
1300024933|1|1315103001|3186566|401|VLG|N|N|N|N|27/03/2003
4600186402|1|4621314803|6233013|576|GENUS|N|N|N|N|13/05/2019
6100051032|1|6814913500|7000499|599|SECURE|Y|N|N|N|24/02/2017
4600049694|1|4633305800|6060443|573|L+G|Y|N|N|N|23/05/2018
1200056146|1|1228104200|6044147|571|GENUS|N|Y|N|N|11/10/2017
1200056363|1|1228206601|2232419|802|VLG|N|N|Y|N|04/11/1996
1200053621|1|1226809900|3862515|590|L+G|N|Y|N|N|30/08/2008
2900046234|1|2910927200|3675207|407|SCHLMBGR|N|N|Y|N|12/12/2006
2900073821|1|2920827500|4831604|566|GENUS|N|Y|Y|N|29/04/2014
6000047608|1|6011002514|6589730|578|L&T|N|N|N|N|24/01/2023
4600219016|1|4619211101|6872597|577|L&T|N|N|Y|N|13/08/2024
1200074085|1|1220408301|3933752|550|SECURE|N|N|N|N|17/04/2008
4900058334|1|4908106906|6620937|577|L&T|N|N|N|N|10/06/2023
1000108440|1|1002919801|7186308|599|SECURE|N|N|Y|N|19/10/2021
1000116845|1|1019200303|6411670|574|L&T|N|N|N|N|06/05/2021
1000117065|1|1018608405|6782508|576|GENUS|N|N|N|N|07/05/2024
4800120950|1|4845303536|5118792|571|GENUS|N|Y|N|N|02/01/2015
3200015288|1|3205417800|2550886|802|VLG|N|N|Y|N|18/04/2002
1200068363|1|1222104429|3435223|421|L+G|N|N|N|N|08/10/2004
1200067400|1|1219901201|3337377|407|SCHLMBGR|N|N|Y|N|07/05/2004
6800008578|1|6814602907|3964230|582|GENUS|Y|N|N|N|15/05/2012
6800007943|1|6809708501|6083785|573|L+G|N|N|N|N|03/04/2019
1200068550|1|1217809811|7272911|599|SECURE|N|N|N|N|17/03/2023
1200068579|1|1223001902|3483338|423|ALSTOM|N|N|N|N|04/11/2004
1200068633|1|1229306600|2370457|802|VLG|N|Y|N|N|03/06/1997
5400010245|1|5407001600|6816543|576|GENUS|N|N|N|N|19/06/2024
4600056702|1|4638714000|5745650|569|SECURE|N|N|N|N|25/11/2016
4600056796|1|4638910100|2738408|401|VLG|N|N|Y|N|02/06/1999
5100033267|1|5116601103|2211768|802|VLG|N|N|N|N|09/09/1996
5100039546|1|5120414800|2547834|802|VLG|N|N|N|N|20/03/1998
3200035262|1|3201022304|5823789|569|SECURE|N|N|N|N|26/12/2016
200096193|1|0209207200|7270204|599|SECURE|N|N|Y|N|04/03/2023
5400041714|1|5413210000|4149253|565|GENUS|N|N|N|N|08/09/2009
1200082157|1|1224407702|3856074|590|L+G|N|Y|N|N|21/08/2008
1200082215|1|1230101205|3862504|590|L+G|N|Y|N|N|27/08/2008
6700002421|1|6708103300|4065741|581|GENUS|N|N|N|N|08/05/2009
7600047179|1|7623919200|4228082|595|GENUS|N|N|N|N|03/09/2010
4600202623|1|4631312130|6429052|551|SECURE|N|N|Y|N|10/07/2021
5100048398|1|5117104101|3519332|407|SCHLMBGR|N|N|Y|N|03/12/2005
5100051106|1|5118404600|2777315|401|VLG|N|N|N|N|03/09/1999
5100051107|1|5118404601|2602972|802|VLG|N|N|N|N|10/09/1998
3200035015|1|3200106302|5195325|569|SECURE|N|N|Y|N|27/03/2015
3200032524|1|3201813900|3288165|421|L+G|N|N|Y|N|16/03/2004
6600011103|1|6603400800|6833776|576|GENUS|N|N|N|N|01/07/2024
6600011266|1|6609903800|2389191|802|VLG|N|N|N|N|24/07/1997
4600145397|1|4658209804|4876971|581|GENUS|Y|N|N|N|01/01/2014
6400017704|1|6409206000|3621881|407|SCHLMBGR|N|N|N|N|04/04/2006
6400017704|1|6409206000|3621881|407|SCHLMBGR|N|N|N|N|04/04/2006
6600011399|1|6606208000|4117632|585|SECURE|N|Y|Y|N|14/01/2010
3600001824|1|3600701700|6791425|577|L&T|N|N|Y|N|29/02/2024
4600144171|1|4660120200|4960411|550|SECURE|N|N|N|N|01/11/2013
2900043277|1|2919903000|3580732|423|ALSTOM|N|N|Y|N|07/07/2005
2900043277|1|2919903000|3580732|423|ALSTOM|N|N|Y|N|07/07/2005
4600146415|1|4653408302|4975536|598|SECURE|N|N|N|N|10/03/2014
4600146415|1|4653408302|4975536|598|SECURE|N|N|N|N|10/03/2014
2900066710|1|2911029500|4790900|590|L+G|N|Y|N|N|09/04/2013
6600012765|1|6609408001|5845912|569|SECURE|N|N|N|N|07/02/2017
1000026886|1|1013606700|3347838|413|ALSTOM|N|N|N|N|10/02/2004
5900019619|1|5909608800|5654666|571|GENUS|N|N|N|N|09/07/2016
1800021071|1|1801205901|4123651|550|SECURE|N|N|N|N|29/01/2009
6000010367|1|6005611400|7005579|599|SECURE|N|Y|N|N|18/03/2017
6000009389|1|6001006200|2913325|401|VLG|N|N|Y|N|16/06/2004
6000009389|1|6001006200|2913325|401|VLG|N|N|N|N|16/06/2004
5100099349|1|5110309248|7129769|599|SECURE|N|N|N|N|11/07/2020
5100099382|1|5111201006|5298678|569|SECURE|N|N|Y|N|27/07/2020
4600040796|1|4626513000|6858433|577|L&T|N|N|Y|N|18/07/2024
5100097010|1|5109910628|6310484|574|L&T|N|N|N|N|31/12/2019
5100095554|1|5109804129|7118311|599|SECURE|N|N|N|N|28/10/2019
5900016852|1|5908304200|7011395|599|SECURE|Y|N|N|N|06/04/2017
5100098538|1|5110312702|6350974|574|L&T|N|N|Y|N|26/02/2020
7000008142|1|7011102100|3421536|421|L+G|N|Y|N|N|08/07/2004
7000008142|1|7011102100|3421536|421|L+G|N|N|N|N|08/07/2004
4600037947|1|4623215300|2977898|401|VLG|N|N|N|N|01/01/2001
5100104877|1|5110100866|7174364|599|SECURE|N|N|N|N|16/08/2021
5100104881|1|5110306146|7179334|599|SECURE|N|N|N|N|02/09/2021
5100105365|1|5109312400|7304370|599|SECURE|N|N|N|N|03/08/2023
5100101939|1|5111304412|7148401|599|SECURE|N|N|Y|N|25/02/2021
5100103631|1|5111304013|6412047|574|L&T|N|N|N|N|01/06/2021
4600079234|1|4658611600|7021279|599|SECURE|N|Y|N|N|12/04/2017
5500004068|1|5501606600|3102533|405|ISKRA|N|N|Y|N|18/07/2002
4600078096|1|4656803400|2895979|800|SCHLMBGR|N|N|N|N|20/05/2000
