CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT|JOB_ID
1100019494|1|1114406100|7231820|599|SECURE|N|N|Y|N|29/03/2022|20241101218
4800103300|1|4835303504|4565051|550|SECURE|N|N|Y|N|17/12/2011|20241101499
4600213549|1|4622421631|6641886|578|L&T|N|N|Y|N|07/10/2023|20241101558
4200047208|1|4200221463|6497443|576|GENUS|N|N|N|N|29/04/2022|20241101569
4800104389|1|4845610702|6437058|551|SECURE|N|N|Y|N|16/08/2021|20241101638
4800133806|1|4838008102|5584030|551|SECURE|Y|N|Y|N|20/10/2016|20241101641
4600130703|1|4614102201|4562877|550|SECURE|N|N|Y|N|08/11/2011|20241101772
2600036662|1|2605118902|6385003|551|SECURE|N|N|N|N|15/01/2020|20241102041
1300164883|1|1350752800|4574021|565|GENUS|Y|N|Y|N|17/08/2017|20241102057
2700026042|1|2704906916|6880575|577|L&T|N|N|N|N|10/09/2024|20241102163
1200010257|1|1205703700|6787407|576|GENUS|N|N|N|N|22/05/2024|20241102191
1200086047|1|1208005605|4131615|565|GENUS|N|N|N|N|08/08/2009|20241102192
1200092104|1|1207808104|4374393|585|SECURE|Y|N|N|N|21/02/2011|20241102193
1200135144|1|1200302703|6390372|562|L&T|N|N|N|N|13/10/2020|20241102198
4600107237|1|4641219500|5004942|550|SECURE|Y|N|N|N|30/06/2014|20241102206
1100186319|1|1117902648|6483542|562|L&T|N|N|N|N|24/08/2021|20241102289
7600055774|1|7617705603|4956040|565|GENUS|N|N|N|N|11/12/2013|20241102300
5500010853|1|5504605800|5411372|562|L&T|N|N|N|N|04/03/2016|20241102331
1200014332|1|1208202200|5486737|569|SECURE|N|N|Y|N|26/03/2016|20241102347
1200017378|1|1209809500|5192724|569|SECURE|N|N|N|N|24/03/2015|20241102348
1200028649|1|1215210200|5095344|569|SECURE|Y|N|N|N|22/12/2014|20241102349
1200077103|1|1214300207|3776666|550|SECURE|Y|N|N|N|28/05/2007|20241102350
1200110617|1|1211107302|5193624|569|SECURE|N|N|N|N|27/03/2015|20241102351
1200123330|1|1212610706|6089380|574|L&T|N|N|N|N|05/01/2018|20241102352
1200134578|1|1212007208|6296966|576|GENUS|Y|N|N|N|09/06/2020|20241102353
6200056232|1|6214911571|4314982|550|SECURE|N|N|Y|N|26/11/2010|20241102356
4600167226|1|4660202223|5581931|551|SECURE|Y|N|N|N|15/07/2016|20241102362
4200046676|1|4200417607|6690292|576|GENUS|N|N|N|N|25/10/2023|20241102496
1100171227|1|1126421702|6438943|551|SECURE|N|N|Y|N|26/11/2021|20241102521
4200035326|1|4206602000|5234073|551|SECURE|N|N|Y|N|07/01/2016|20241102543
1200050343|1|1225203403|2515431|802|VLG|N|N|N|N|16/04/1998|20241102568
1200077210|1|1223805402|6086470|574|L&T|N|N|Y|N|29/11/2017|20241102569
1200079356|1|1217110116|4235490|585|SECURE|N|N|N|N|17/05/2010|20241102570
1200080479|1|1219010804|5115083|569|SECURE|N|N|Y|N|18/03/2015|20241102571
1200086883|1|1223804006|6771351|576|GENUS|N|N|N|N|21/03/2024|20241102572
1200155160|1|1224509935|6631142|576|GENUS|N|N|N|N|06/05/2023|20241102573
3300033649|2|3301602500|4740897|585|SECURE|N|N|Y|N|27/02/2013|20241102586
3300040066|1|3305521208|4893150|585|SECURE|Y|N|N|N|30/09/2013|20241102590
6600020455|1|6610509401|3778132|565|GENUS|N|N|N|N|21/07/2007|20241102614
200033892|1|0215406300|2594881|802|VLG|N|N|N|N|25/08/1998|20241102628
200034287|1|0215708200|2332338|602|GEC(UK)|N|Y|N|N|27/11/1997|20241102629
8600001578|1|8630249900|6312583|114|GENUS|N|N|N|N|28/11/2019|20241102680
7600059777|1|7612459901|4961150|550|SECURE|N|N|Y|N|02/01/2014|20241102701
200041038|1|0220011200|5513383|571|GENUS|N|N|N|N|02/04/2016|20241102702
1100180582|1|1129903002|6642676|578|L&T|N|N|Y|N|01/11/2023|20241102716
1100160383|1|1135028402|6266158|574|L&T|N|N|Y|N|18/06/2019|20241102724
1100105860|1|1166418300|4130721|565|GENUS|Y|N|N|N|20/01/2009|20241102735
1100065304|1|1155010300|3824945|550|SECURE|Y|N|Y|N|11/10/2007|20241102736
500059558|1|0532314800|4436200|550|SECURE|N|N|Y|N|24/05/2011|20241102787
2500001233|1|2500602312|3316550|407|SCHLMBGR|N|N|Y|N|20/08/2003|20241102789
800058316|1|0807122200|4227073|595|GENUS|Y|N|N|N|02/02/2010|20241102802
1200095114|1|1226701211|4535315|585|SECURE|N|N|N|N|28/09/2011|20241102806
1200165352|1|1226607106|6771187|576|GENUS|N|N|Y|N|18/03/2024|20241102807
1200166695|1|1230305307|6823850|577|L&T|Y|N|N|N|17/05/2024|20241102808
5400006774|1|5404215300|2176406|802|VLG|N|Y|N|N|17/06/1996|20241102837
800028458|1|0814310200|4706513|550|SECURE|Y|N|Y|N|21/09/2012|20241102844
5100089176|1|5109705929|6147914|562|L&T|N|N|N|N|09/06/2018|20241102865
1100103889|1|1117803801|6180233|574|L&T|N|N|N|N|27/10/2018|20241102871
1100107977|1|1101711404|4703624|550|SECURE|N|N|Y|N|17/07/2012|20241102872
